,name,sex,date_of_birth,email_address,,geography,postcode,ethnic_group,nationality,highest_level_of_qualifications,employment_status,industry,occupation,,,,,,,,,,,,
0,Jean Singh,female,03-01-1959,jean_singh59@a116b.dawson.net,,Wales,SA10 6LH,White,United Kingdom,Level 1,Employee: Full-time,I. Accommod-ation & food services,2. Professional occupations,,,,,,,,,,,,
1,Carol Burrows,female,10-08-1931,carol-burrows1931@03b4c.cox.biz,,South East,OX3 9PX,Asian / Asian British: Pakistani,United Kingdom,Level 3,Retired,Other,Other,,,,,,,,,,,,
2,Jay Richardson,male,29-10-1966,j.richardson66@862ba.outlook.com,,London,SW20 0NP,White,United Kingdom,Level 4 or above,Other,Other,Other,,,,,,,,,,,,
3,Amelia Reeves,female,12-07-2006,amelia-reeves@b3e37.hotmail.com,,Yorkshire and The Humber,YO41 1ET,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
4,Max Booth,male,17-05-2007,boothmax@5eec4.wright-north.com,,North West,CH45 7LY,Mixed / Multiple ethnic group,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
5,Jacob Winter,male,22-10-2010,winter.jacob@7e8e2.cooper.com,,Wales,NP24 6AR,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
6,Cheryl Brown,female,08-11-1953,brown_cheryl1953@18aa5.outlook.com,,East,NR3 3DH,White,United Kingdom,No qualifications,Retired,Other,Other,,,,,,,,,,,,
7,Janet Marshall,female,03-05-2015,j.marshall@45442.ellis-singh.org,,North West,OL15 8AB,Asian / Asian British: Pakistani,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
8,David Turnbull,male,02-06-1945,turnbulld45@5b0ad.ball.com,,Yorkshire and The Humber,YO21 2PU,White,United Kingdom,No qualifications,Retired,Other,Other,,,,,,,,,,,,
9,Jean Thomas,female,22-03-1963,jthomas@620ce.chadwick.info,,North West,FY4 4EQ,White,United Kingdom,Other qualifications,Self-employed,N. Administrative & support services,8. Process plant and machine operatives,,,,,,,,,,,,
10,Amber Baker,female,05-04-1990,b.amber@0e13d.murray.info,,London,SW2 2SD,White,United Kingdom,Level 2,Employee: Full-time,Q. Human health & social work activities,5. Skilled trades occupations,,,,,,,,,,,,
11,Dylan Jones,male,13-12-2004,djones2517@1d88e.hotmail.co.uk,,Yorkshire and The Humber,DN6 0BD,Asian / Asian British: Pakistani,Romania,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
12,Lucy Hunter,female,23-03-1944,lucy_h3652@df037.hotmail.com,,South West,GL5 1SX,White,United Kingdom,Level 4 or above,Retired,Other,Other,,,,,,,,,,,,
13,Jean Smith,female,29-11-1952,j.smith@7ccf9.storey.com,,Northern Ireland,BT47 4JG,White,United Kingdom,No qualifications,Retired,Other,Other,,,,,,,,,,,,
14,Leanne Smith,female,27-11-1956,l.smith1956@aa8e3.archer.info,,South East,RG12 7HB,White,United Kingdom,Level 1,Retired,Other,Other,,,,,,,,,,,,
15,Charlotte Nicholson,female,09-04-1947,charlotte.nicholson47@f4644.hotmail.co.uk,,Yorkshire and The Humber,WF12 0AX,White,Lithuania,Level 1,Retired,Other,Other,,,,,,,,,,,,
16,Sarah Bird,female,25-09-1983,sarah.b893@89af0.gmail.com,,South West,DT6 5LA,White,United Kingdom,Level 3,Employee: Full-time,Q. Human health & social work activities,3. Associate professional and technical occupat...,,,,,,,,,,,,
17,Kim Carey,female,05-10-1933,careykim@277ad.hotmail.com,,West Midlands,WS1 1PQ,White,United Kingdom,Level 2,Retired,Other,Other,,,,,,,,,,,,
18,Terence Palmer,male,18-04-1974,terence-p@fe266.yahoo.com,,South East,ME7 4RA,White,United Kingdom,Level 4 or above,Employee: Full-time,K. Financial & insurance activities,7. Sales and customer service occupations,,,,,,,,,,,,
19,Zoe Price,female,23-04-1947,zoe.p4281@ca518.yahoo.com,,London,UB4 9ND,White,United Kingdom,Level 4 or above,Retired,Other,Other,,,,,,,,,,,,
20,Dawn Buckley,female,28-08-2006,dawn-b06@835e8.newton.com,,South East,BN25 2TN,White,Portugal,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
